Architecture,Max_Power,Memory,Memory_Speed
R600 XT ,215 Watts,512 MB ,828 MHz
R600 PRO ,200 Watts,512 MB ,800 MHz
RV630 ,45 Watts,256 MB ,700 MHz
RV630 ,50 Watts,256 MB ,1100 MHz
R700 RV790 XT ,190 Watts,2048 MB ,1050 MHz
R600 GT ,150 Watts,256 MB ,800 MHz
Pitcairn XT GL ,150 Watts,2048 MB ,1250 MHz
Fermi GF110 ,250 Watts,6144 MB ,925 MHz
Kepler GK110 ,245 Watts,12288 MB ,1502 MHz
GCN 1.1 Oland XT + Kaveri ,150 Watts,3072 MB ,900 MHz
R360 ,60 Watts,256 MB ,730 MHz
Pascal GP102 ,250 Watts,12288 MB ,1425 MHz
Kepler GK110-400-A1 ,250 Watts,6144 MB ,1502 MHz
Kepler GK110-430-B1 (x2) ,375 Watts,12288 MB ,1750 MHz
Kepler GK110B ,375 Watts,12288 MB ,1750 MHz
Kepler GK110-430-B1 (x2) ,375 Watts,12288 MB ,1750 MHz
Kepler GK110B ,375 Watts,12288 MB ,1750 MHz
Maxwell GM200-400-A1 ,250 Watts,12288 MB ,1753 MHz
Maxwell GM200-400-A1 (x2) ,450 Watts,24576 MB ,1753 MHz
Maxwell GM200-400-A1 ,250 Watts,12288 MB ,1753 MHz
Maxwell GM200-400-A1 ,250 Watts,12288 MB ,1753 MHz
Kepler GK110-400-A1 ,265 Watts,6144 MB ,1502 MHz
Kepler GK110-400-A1 (x2) ,500 Watts,12288 MB ,1502 MHz
Pascal P100 ,300 Watts,12288 MB ,500 MHz
Kepler GK110-400-A1 ,250 Watts,6144 MB ,1502 MHz
Pascal P100 ,375 Watts,16384 MB ,500 MHz
Kepler GK110-400-A1 ,250 Watts,6144 MB ,1502 MHz
Kepler GK110-400-A1 ,265 Watts,6144 MB ,1502 MHz
Kepler GK110-400-A1 ,250 Watts,6144 MB ,1502 MHz
Kepler GK110-430-B1 ,250 Watts,6144 MB ,1750 MHz
Kepler GK110-400-A1 ,250 Watts,6144 MB ,1502 MHz
Kepler GK110-400-A1 ,250 Watts,6144 MB ,1502 MHz
R360 ,47 Watts,128 MB ,700 MHz
RV360 ,18 Watts,128 MB ,300 MHz
GCN 2.0 Hawaii XT GL ,290 Watts,16384 MB ,1250 MHz
Tahiti XT ,274 Watts,6144 MB ,1375 MHz
GCN 1.1 Oland PRO ,26 Watts,2048 MB ,900 MHz
Evergreen Juniper XT GL ,74 Watts,1024 MB ,1000 MHz
RV730 ,56 Watts,512 MB ,900 MHz
RV730 ,48 Watts,256 MB ,700 MHz
GCN 2.0 Hawaii XT GL ,235 Watts,16384 MB ,1250 MHz
GCN 1.0 Tahiti PRO GL ,225 Watts,12288 MB ,1375 MHz
Cypress XT ,250 Watts,4096 MB ,1150 MHz
Tahiti XT GL ,274 Watts,3072 MB ,1375 MHz
Tahiti LE ,175 Watts,3072 MB ,1250 MHz
Turks ,75 Watts,1024 MB ,900 MHz
RV770 ,160 Watts,2048 MB ,850 MHz
RV870 ,150 Watts,2048 MB ,1000 MHz
RV670 ,105 Watts,2048 MB ,800 MHz
RV770 ,150 Watts,1024 MB ,993 MHz
RV610 ,25 Watts,256 MB ,500 MHz
RV610 ,25 Watts,256 MB ,400 MHz
RV630 ,35 Watts,256 MB ,500 MHz
RV610 ,20 Watts,256 MB ,400 MHz
R700 RV790 XT ,190 Watts,1024 MB ,1050 MHz
R700 RV790 XT ,190 Watts,1024 MB ,1050 MHz
RV610 ,20 Watts,256 MB ,400 MHz
R700 RV790 XT ,190 Watts,1024 MB ,1000 MHz
R700 XT ,420 Watts,2048 MB ,900 MHz
R700 RV790 XT ,190 Watts,1024 MB ,1050 MHz
R700 RV770 PRO ,150 Watts,1024 MB ,900 MHz
R700 RV790 XT ,190 Watts,1024 MB ,975 MHz
RV770 PRO ,150 Watts,512 MB ,900 MHz
R700 RV770 PRO ,150 Watts,512 MB ,950 MHz
R700 RV770 PRO ,250 Watts,2048 MB ,993 MHz
RV790 GT ,130 Watts,512 MB ,750 MHz
R700 RV770 PRO ,110 Watts,1024 MB ,993 MHz
R700 RV770 PRO ,110 Watts,512 MB ,940 MHz
R700 RV770 PRO ,110 Watts,512 MB ,993 MHz
R700 RV790 LE ,95 Watts,512 MB ,900 MHz
R700 RV790 LE ,95 Watts,512 MB ,900 MHz
R700 RV730 XT ,59 Watts,1024 MB ,873 MHz
R700 RV740 PRO ,80 Watts,512 MB ,800 MHz
RV770 CE ,110 Watts,512 MB ,900 MHz
RV740 PRO ,75 Watts,512 MB ,800 MHz
R700 RV730 XT ,59 Watts,1024 MB ,800 MHz
R700 RV730 XT ,59 Watts,1024 MB ,800 MHz
R700 RV730 XT ,59 Watts,512 MB ,1004 MHz
R700 RV730 PRO ,48 Watts,1024 MB ,750 MHz
R700 RV730 PRO ,48 Watts,1024 MB ,700 MHz
R700 RV730 XT ,59 Watts,1024 MB ,800 MHz
R700 RV710 ,20 Watts,512 MB ,400 MHz
R700 RV730PRO ,48 Watts,512 MB ,400 MHz
R700 RV730PRO ,48 Watts,1024 MB ,400 MHz
R700 RV710 ,25 Watts,256 MB ,800 MHz
R700 RV710 ,20 Watts,1024 MB ,500 MHz
R700 RV710 ,25 Watts,512 MB ,800 MHz
R700 RV730 XT ,59 Watts,512 MB ,800 MHz
R700 RV710 ,20 Watts,512 MB ,400 MHz
R600 RV670 XT ,165 Watts,1024 MB ,900 MHz
R600 RV670 XT ,106 Watts,512 MB ,1126 MHz
RV670 PRO ,140 Watts,1024 MB ,828 MHz
RV670 PRO ,75 Watts,256 MB ,830 MHz
RV670 PRO ,75 Watts,256 MB ,830 MHz
Tesla G98 ,35 Watts,512 MB ,500 MHz
RV670 PRO ,75 Watts,256 MB ,830 MHz
RV635 PRO ,65 Watts,256 MB ,800 MHz
RV620 PRO ,30 Watts,256 MB ,950 MHz
RV670 PRO ,75 Watts,512 MB ,830 MHz
RV670 PRO ,145 Watts,1536 MB ,850 MHz
RV620 LE ,25 Watts,256 MB ,500 MHz
Broadwell GT3-E ,47 Watts,128 MB ,933 MHz
Haswell GT3e ,47 Watts,128 MB ,800 MHz
Tonga ,125 Watts,4096 MB ,1362 MHz
GCN 1.2 Amethyst XT ,125 Watts,4096 MB ,1250 MHz
GCN 1.1 Neptune XT ,100 Watts,4096 MB ,1200 MHz
GCN 1.2 Amethyst XT ,125 Watts,4096 MB ,1250 MHz
GCN 1.1 Neptune XT ,100 Watts,4096 MB ,1250 MHz
GCN 1.1 Neptune XT (x2) ,200 Watts,4096 MB ,1200 MHz
Terascale 2 Broadway XT (x2) ,100 Watts,2048 MB ,1000 MHz
M96 XT ,35 Watts,1024 MB ,800 MHz
Terascale 2 Broadway XT ,50 Watts,1024 MB ,1000 MHz
Terascale 2 Broadway PRO ,39 Watts,1024 MB ,1000 MHz
Terascale 2 Broadway LE ,24 Watts,1024 MB ,800 MHz
GCN 1.1 Neptune XT ,100 Watts,4096 MB ,1200 MHz
Terascale 2 Madison LE ,26 Watts,1024 MB ,800 MHz
Terascale 2 Madison XT ,30 Watts,1024 MB ,800 MHz
Terascale 2 Madison LP ,15 Watts,1024 MB ,800 MHz
Terascale 2 Park XT ,15 Watts,1024 MB ,800 MHz
M96 ,35 Watts,1024 MB ,800 MHz
M96 ,20 Watts,1024 MB ,600 MHz
M92 ,15 Watts,1024 MB ,800 MHz
Park XT ,15 Watts,512 MB ,800 MHz
M92 ,10 Watts,1024 MB ,600 MHz
GCN 1.1 Neptune XT (x2) ,200 Watts,4096 MB ,1200 MHz
M92 ,15 Watts,1024 MB ,900 MHz
Terascale 2 Park PRO ,11 Watts,1024 MB ,800 MHz
GCN 1.1 Neptune XT ,100 Watts,2048 MB ,1200 MHz
M92 ,13 Watts,512 MB ,800 MHz
M96 ,35 Watts,1024 MB ,900 MHz
Terascale 2 Park LP ,7 Watts,1024 MB ,800 MHz
Terascale 2 Madison PRO ,25 Watts,1024 MB ,800 MHz
GCN 1.1 Venus XT ,50 Watts,2048 MB ,1125 MHz
GCN 1.1 Venus PRO ,45 Watts,2048 MB ,1125 MHz
GCN 1.1 Mars XTX ,35 Watts,2048 MB ,1000 MHz
GCN 1.1 Venus LE ,35 Watts,2048 MB ,1000 MHz
GCN 1.1 Mars XT ,20 Watts,2048 MB ,1125 MHz
GCN 1.1 Venus PRO ,45 Watts,2048 MB ,1000 MHz
GCN 1.1 Mars PRO ,20 Watts,2048 MB ,1000 MHz
GCN 1.1 Mars LE ,15 Watts,1024 MB ,1000 MHz
GCN 1.1 Mars PRO ,20 Watts,2048 MB ,900 MHz
Terascale 2 Blackcomb XT ,75 Watts,2048 MB ,900 MHz
Terascale 2 Blackcomb PRO ,50 Watts,1024 MB ,900 MHz
Terascale 2 Granville PRO ,50 Watts,1024 MB ,800 MHz
Terascale 2 Granville LP ,39 Watts,2048 MB ,800 MHz
Terascale 2 Granville XT ,50 Watts,1024 MB ,1000 MHz
Terascale 2 Whistler XT ,35 Watts,2048 MB ,800 MHz
Terascale 2 Blackcomb XTX ,100 Watts,2048 MB ,900 MHz
Terascale 2 Whistler XT ,35 Watts,1024 MB ,800 MHz
Terascale 2 Capilano XT ,30 Watts,1024 MB ,800 MHz
Terascale 2 Whistler LE ,39 Watts,1024 MB ,800 MHz
Terascale 2 Whistler LP ,26 Watts,1024 MB ,800 MHz
Terascale 2 Capilano PRO ,26 Watts,1024 MB ,800 MHz
Terascale 2 Seymour XT ,11 Watts,1024 MB ,800 MHz
Terascale 2 Seymour XTX ,14 Watts,512 MB ,800 MHz
Terascale 2 Capilano LE ,26 Watts,1024 MB ,800 MHz
Terascale 2 Seymour PRO ,11 Watts,1024 MB ,800 MHz
Terascale 2 Robson XT ,11 Watts,1024 MB ,800 MHz
Terascale 2 Robson PRO ,7 Watts,1024 MB ,900 MHz
Terascale 2 Seymour LE ,11 Watts,1024 MB ,800 MHz
GCN 1.0 Wimbledon PRO ,75 Watts,2048 MB ,1000 MHz
GCN 1.0 Heathrow Pro ,40 Watts,2048 MB ,1000 MHz
GCN 1.0 Heathrow XT ,45 Watts,2048 MB ,1000 MHz
GCN 1.0 Chelsea XT ,32 Watts,2048 MB ,1000 MHz
GCN 1.0 Wimbledon XT ,100 Watts,2048 MB ,1200 MHz
GCN 1.0 Wimbledon XT (x2) ,200 Watts,4096 MB ,1200 MHz
GCN 1.0 Chelsea LE ,25 Watts,2048 MB ,900 MHz
Terascale 2 Thames XTX ,25 Watts,1024 MB ,900 MHz
Terascale 2 Thames XT ,20 Watts,1024 MB ,900 MHz
Terascale 2 Thames PRO ,20 Watts,1024 MB ,900 MHz
Terascale 2 Thames XT ,20 Watts,2048 MB ,900 MHz
GCN 1.0 Chelsea PRO ,28 Watts,1024 MB ,1000 MHz
GCN 1.0 Chelsea XT ,32 Watts,1024 MB ,1000 MHz
Terascale 2 Thames XT ,20 Watts,1024 MB ,900 MHz
Terascale 2 Thames LP ,20 Watts,1024 MB ,800 MHz
Terascale 2 Thames LE ,20 Watts,1024 MB ,800 MHz
Terascale 2 Thames PRO ,14 Watts,1024 MB ,800 MHz
Terascale 2 Thames XT ,18 Watts,1024 MB ,800 MHz
Terascale 2 Thames LE ,11 Watts,1024 MB ,800 MHz
Terascale 2 Thames LP ,11 Watts,1024 MB ,900 MHz
Terascale 2 Thames PRO ,14 Watts,2048 MB ,900 MHz
Terascale 2 Thames PRO ,13 Watts,1024 MB ,800 MHz
Terascale 2 Seymour PRO ,7 Watts,1024 MB ,900 MHz
Terascale 2 Seymour PRO ,7 Watts,1024 MB ,900 MHz
Terascale 2 Seymour XT ,7 Watts,512 MB ,900 MHz
Terascale 2 Seymour XTX ,9 Watts,1024 MB ,950 MHz
Terascale 2 Robson XT ,11 Watts,1024 MB ,800 MHz
Terascale 2 Robson PRO ,7 Watts,1024 MB ,900 MHz
Terascale 2 Robson LE ,5 Watts,1024 MB ,800 MHz
Saturn XT ,75 Watts,2048 MB ,1000 MHz
GCN 1.1 Venus XTX ,50 Watts,2048 MB ,1000 MHz
GCN 1.1 Venus PRO ,35 Watts,2048 MB ,1000 MHz
Venus XT ,50 Watts,2048 MB ,1000 MHz
GCN 1.1 Venus XT ,50 Watts,2048 MB ,1000 MHz
GCN 1.1 Mars XT ,35 Watts,2048 MB ,1000 MHz
GCN 1.1 Mars XT ,35 Watts,2048 MB ,1000 MHz
GCN 1.1 Topaz XT ,35 Watts,2048 MB ,1000 MHz
GCN 1.1 Mars PRO ,35 Watts,4096 MB ,900 MHz
GCN 1.1 Opal XT ,30 Watts,4096 MB ,1000 MHz
GCN 1.1 Sun PRO ,20 Watts,4096 MB ,1000 MHz
GCN 1.1 Sun LE ,20 Watts,4096 MB ,1000 MHz
GCN 1.1 Saturn PRO ,75 Watts,4096 MB ,1375 MHz
GCN 1.2 Strato PRO ,75 Watts,4096 MB ,1500 MHz
GCN 1.1 Saturn XT ,75 Watts,4096 MB ,1500 MHz
GCN 1.0 Venus XTX ,75 Watts,4096 MB ,1125 MHz
GCN 1.0 ???? ,50 Watts,4096 MB ,1000 MHz
GCN 1.0 Venus PRO ,50 Watts,4096 MB ,1000 MHz
GCN 1.1 Meso PRO ,25 Watts,2048 MB ,1000 MHz
GCN 1.0 Venus XTX ,75 Watts,2048 MB ,1100 MHz
GCN 1.1 Mars XT ,50 Watts,2048 MB ,1100 MHz
GCN 1.1 Mars XT ,50 Watts,4096 MB ,1100 MHz
GCN 1.1 Exo XT ,25 Watts,2048 MB ,1100 MHz
GCN 1.1 Sun PRO ,25 Watts,2048 MB ,1000 MHz
GCN 1.1 Jet PRO ,20 Watts,2048 MB ,1000 MHz
GCN 1.1 Sun PRO ,25 Watts,4096 MB ,1000 MHz
GCN 1.1 Saturn PRO ,75 Watts,4096 MB ,1375 MHz
GCN 1.1 Saturn XT ,75 Watts,4096 MB ,1500 MHz
GCN 1.1 Exo XT ,25 Watts,4096 MB ,1100 MHz
RV770 ,65 Watts,1024 MB ,700 MHz
RV770 ,130 Watts,2048 MB ,700 MHz
Kepler GK104 ,100 Watts,8192 MB ,902 MHz
Kepler GK104 ,100 Watts,4096 MB ,750 MHz
Fermi GF106-N12P-Q3 ,55 Watts,2048 MB ,900 MHz
GCN 1.1 ,85 Watts,2048 MB ,1800 MHz
Devastator / Mars PRO ,50 Watts,2048 MB ,800 MHz
Terascale 3/GCN ,50 Watts,1024 MB ,1000 MHz
GCN 1.1 Mars XTX ,50 Watts,2048 MB ,1125 MHz
GCN 1.1 Saturn XT GL ,75 Watts,2048 MB ,1125 MHz
GCN 1.1 Venus XT ,50 Watts,2048 MB ,1125 MHz
Kepler GK104 ,122 Watts,8192 MB ,1250 MHz
Kepler GK104 (x2) ,200 Watts,16384 MB ,1250 MHz
Fermi GF104-N12E-GTX-A1 (x2) ,200 Watts,4096 MB ,750 MHz
Kepler GK104 ,122 Watts,4096 MB ,1250 MHz
Fermi GF114 (x2) ,200 Watts,4096 MB ,750 MHz
Fermi GF116 (x2) ,150 Watts,3072 MB ,625 MHz
Fermi GF114 ,75 Watts,1536 MB ,750 MHz
Fermi GF106 ,35 Watts,3072 MB ,900 MHz
Fermi GF114 ,100 Watts,2048 MB ,750 MHz
Fermi GF108-400-A1 ,35 Watts,1024 MB ,784 MHz
Fermi GF116 ,75 Watts,1536 MB ,625 MHz
Fermi GF116 ,35 Watts,2048 MB ,900 MHz
Fermi GF108 ,35 Watts,2048 MB ,900 MHz
Fermi GF108 ,35 Watts,1024 MB ,900 MHz
Fermi GF106 ,35 Watts,1536 MB ,900 MHz
Fermi GF108 ,35 Watts,2048 MB ,900 MHz
Fermi GF108 ,35 Watts,1024 MB ,900 MHz
Fermi GF108 ,23 Watts,1024 MB ,900 MHz
Fermi GF108 ,25 Watts,2048 MB ,900 MHz
Fermi GF108 ,12 Watts,1024 MB ,800 MHz
Fermi GF119 ,12 Watts,1024 MB ,800 MHz
Fermi GF119 ,20 Watts,1024 MB ,900 MHz
Tesla G92b (x2) ,130 Watts,2048 MB ,950 MHz
Tesla G92b (x2) ,150 Watts,2048 MB ,950 MHz
Pascal P104-200-A1 ,150 Watts,8192 MB ,2002 MHz
Pascal P107 ,75 Watts,4096 MB ,1752 MHz
Pascal P102 ,220 Watts,11264 MB ,1376 MHz
Pascal P107 ,75 Watts,2048 MB ,1752 MHz
Tesla GT216-N10P-GE-A2 ,23 Watts,1024 MB ,800 MHz
Pascal P106-400-A1 ,120 Watts,6144 MB ,2002 MHz
Tesla G92b (x2) ,150 Watts,2048 MB ,1020 MHz
Fermi GF104-N12E-GTX-A1 ,100 Watts,2048 MB ,750 MHz
Fermi GF100-N11E-GTX-A3 ,100 Watts,2048 MB ,600 MHz
Fermi GF100-N11E-GTX-A3 (x2) ,200 Watts,4096 MB ,600 MHz
Fermi GF104-N11E-GT (x2) ,150 Watts,3072 MB ,625 MHz
Fermi GF104-N11E-GT ,75 Watts,1536 MB ,625 MHz
Fermi GF106-N11E-GE-A1 ,35 Watts,1024 MB ,625 MHz
Fermi GF106-N11E-GE-A1 ,35 Watts,3072 MB ,800 MHz
Fermi GF106-N11E-GS-A1 (x2) ,100 Watts,3072 MB ,625 MHz
Fermi GF106-N11E-GE-A1 ,35 Watts,1024 MB ,800 MHz
Fermi GF108-N11P-GT ,35 Watts,1024 MB ,800 MHz
Fermi GF108-N11P-GS-A1 ,23 Watts,1024 MB ,800 MHz
Fermi GF106-N11E-GS-A1 ,50 Watts,1536 MB ,625 MHz
Kepler GK104 ,100 Watts,6144 MB ,1250 MHz
Pascal P104-400-A1 ,180 Watts,8192 MB ,1251 MHz
Fermi GF119-N12M-GS ,12 Watts,1024 MB ,800 MHz
Fermi GF108-N11P-GE-A1 ,23 Watts,512 MB ,800 MHz
Fermi GF108-N11P-GV ,12 Watts,512 MB ,800 MHz
Maxwell GM107 ,50 Watts,4096 MB ,1250 MHz
Tesla GT218 ,14 Watts,512 MB ,800 MHz
Maxwell GM107 ,45 Watts,2048 MB ,1253 MHz
Maxwell GM107 ,45 Watts,4096 MB ,1000 MHz
Maxwell GM107-N15P-GX-A1 (x2) ,120 Watts,4096 MB ,1253 MHz
Maxwell GM108 ,33 Watts,2048 MB ,1001 MHz
GT215 ,38 Watts,1024 MB ,900 MHz
Fermi GF117-N15V-GM ,15 Watts,2048 MB ,900 MHz
GT215 ,28 Watts,1024 MB ,800 MHz
GT215 ,28 Watts,1024 MB ,1066 MHz
Maxwell GM108 ,33 Watts,2048 MB ,1001 MHz
GT216 ,23 Watts,1024 MB ,1066 MHz
GT216 ,23 Watts,1024 MB ,1066 MHz
Kepler GK208 ,33 Watts,2048 MB ,900 MHz
GT216 ,14 Watts,1024 MB ,790 MHz
Maxwell GM107 ,45 Watts,2048 MB ,1000 MHz
Tesla GT218-N11M-GE1 ,14 Watts,512 MB ,790 MHz
Tesla GT218-N11M-GE1 ,14 Watts,512 MB ,790 MHz
Kepler GK104 ,100 Watts,3072 MB ,1250 MHz
Fermi GF117-N15V-GM ,15 Watts,1024 MB ,900 MHz
Tesla GT218-N11M-LP1 ,14 Watts,512 MB ,700 MHz
Kepler GK104 ,100 Watts,1024 MB ,1250 MHz
Kepler GK104-N13E-GTX-A2 ,100 Watts,4096 MB ,900 MHz
Kepler GK104-N13E-GSR-A2 ,100 Watts,2048 MB ,900 MHz
Kepler GK104-N13E-GTX2-A2 ,122 Watts,2048 MB ,1250 MHz
Kepler GK104 (x2) ,200 Watts,4096 MB ,900 MHz
Fermi GF114 ,100 Watts,2048 MB ,750 MHz
Fermi GF114 (x2) ,200 Watts,4096 MB ,750 MHz
Maxwell GM107-N15P-GX-A1 ,60 Watts,2048 MB ,1253 MHz
Kepler GK106 (x2) ,150 Watts,6144 MB ,700 MHz
Tesla GT218-N11M-GE1 ,14 Watts,1024 MB ,667 MHz
Fermi GF114 ,75 Watts,1536 MB ,750 MHz
Fermi GF114 ,75 Watts,3072 MB ,750 MHz
Kepler GK104-N13E-GR-A2 ,75 Watts,3072 MB ,700 MHz
Kepler GK107-N13E-GE-A2 ,50 Watts,2048 MB ,1000 MHz
Kepler GK107 (x2) ,90 Watts,4096 MB ,1000 MHz
Kepler GK107-N13P-GT-W-A2 ,45 Watts,1024 MB ,1254 MHz
Kepler GK107 ,32 Watts,2048 MB ,900 MHz
Fermi GF108 ,32 Watts,2048 MB ,785 MHz
Kepler GK107 ,20 Watts,1024 MB ,900 MHz
Kepler GK107 ,45 Watts,1024 MB ,900 MHz
Kepler GK107 ,32 Watts,2048 MB ,900 MHz
Fermi GF116 ,35 Watts,2048 MB ,900 MHz
Fermi GF108 ,33 Watts,1024 MB ,900 MHz
Fermi GF108 ,33 Watts,1024 MB ,900 MHz
Fermi GF117 ,15 Watts,2048 MB ,900 MHz
Fermi GF108 ,25 Watts,1024 MB ,900 MHz
Fermi GF108 ,35 Watts,2048 MB ,900 MHz
Fermi GF117 ,15 Watts,1024 MB ,900 MHz
Fermi GF119 ,20 Watts,2048 MB ,800 MHz
Fermi GF108 ,33 Watts,2048 MB ,900 MHz
Maxwell GM108 ,25 Watts,2048 MB ,900 MHz
Fermi GF119 ,20 Watts,1024 MB ,900 MHz
Fermi GF117 ,12 Watts,1024 MB ,900 MHz
Fermi GF108 ,12 Watts,1024 MB ,900 MHz
Kepler GK104 (x2) ,200 Watts,8192 MB ,1250 MHz
Kepler GK104-N14E-GTX-A2 ,122 Watts,4096 MB ,1250 MHz
Kepler GK106 (x2) ,150 Watts,4096 MB ,1000 MHz
Kepler GK106-N14E-GS-A1 ,75 Watts,3072 MB ,1002 MHz
Fermi GF116 ,35 Watts,2048 MB ,900 MHz
Kepler GK106-N14E-GE-B-A1 (x2) ,125 Watts,4096 MB ,1000 MHz
Kepler GK104-N13E-GTX-A2 ,100 Watts,2048 MB ,900 MHz
Kepler GK106-N14E-GL-A1 (x2) ,100 Watts,4096 MB ,1000 MHz
Kepler GK106-N14E-GE-B-A1 ,65 Watts,2048 MB ,1002 MHz
Kepler GK107-GT-755M (x2) ,100 Watts,4096 MB ,1350 MHz
Kepler GK106-N14E-GL-A1 ,55 Watts,2048 MB ,1002 MHz
Kepler GK107-N14P-GT ,50 Watts,2048 MB ,900 MHz
Kepler GK107-N14P-GT ,50 Watts,2048 MB ,1253 MHz
Kepler GK107 (x2) ,80 Watts,4096 MB ,1250 MHz
Kepler GK107-N14P-GT ,50 Watts,2048 MB ,900 MHz
Kepler GK107-N14P-GT ,50 Watts,2048 MB ,1000 MHz
Kepler GK107-N14P-LP ,45 Watts,2048 MB ,900 MHz
Kepler GK107-GT-740M ,45 Watts,2048 MB ,900 MHz
Kepler GK107-N14P-LP ,45 Watts,2048 MB ,900 MHz
Kepler GK107-GT-755M ,50 Watts,2048 MB ,1350 MHz
Kepler GK208-GT-740M ,33 Watts,2048 MB ,900 MHz
Kepler GK107-GT-740M ,45 Watts,2048 MB ,900 MHz
Kepler GK208 ,33 Watts,2048 MB ,900 MHz
Kepler GK107 ,33 Watts,2048 MB ,900 MHz
Fermi GF117-N14M-GE ,33 Watts,2048 MB ,900 MHz
Kepler GK208 ,17 Watts,2048 MB ,900 MHz
Fermi GF117-N14M-GL ,15 Watts,1024 MB ,900 MHz
Fermi GF117-N14M-GE ,33 Watts,1024 MB ,900 MHz
Kepler GK107 ,45 Watts,2048 MB ,1000 MHz
Maxwell GM204 (x2) ,200 Watts,16384 MB ,1253 MHz
Maxwell GM204 ,122 Watts,8192 MB ,1253 MHz
Maxwell GM204-N16E-GX-A2 ,100 Watts,8192 MB ,1253 MHz
Maxwell GM204-N16E-GX-A2 ,100 Watts,4096 MB ,1253 MHz
Maxwell GM204 ,75 Watts,3072 MB ,1253 MHz
Maxwell GM204-N16E-GT-A2 (x2) ,150 Watts,12288 MB ,1253 MHz
Maxwell GM204 ,81 Watts,3072 MB ,1253 MHz
Maxwell GM204 ,81 Watts,6144 MB ,1253 MHz
Maxwell GM204-N16E-GS (x2) ,100 Watts,4096 MB ,1250 MHz
Maxwell GM204 ,165 Watts,4096 MB ,1750 MHz
Maxwell GM107-N16P-GX-A1 ,50 Watts,4096 MB ,1253 MHz
Maxwell GM204-N16E-GS ,50 Watts,4096 MB ,1250 MHz
Maxwell GM107-N16P-GX-A1 ,50 Watts,2048 MB ,1253 MHz
Fermi GF119 ,20 Watts,1024 MB ,900 MHz
Maxwell GM107-N16P-GT ,50 Watts,2048 MB ,1000 MHz
Maxwell GM108-N16S-GTR ,25 Watts,2048 MB ,1001 MHz
Maxwell GM107 ,40 Watts,2048 MB ,1000 MHz
Maxwell GM107-N16P-GT ,50 Watts,4096 MB ,900 MHz
Maxwell GM204-N16E ,70 Watts,2048 MB ,1250 MHz
Fermi GF119-B1 ,15 Watts,1024 MB ,900 MHz
Maxwell GM108-N16S-GMR ,25 Watts,2048 MB ,1250 MHz
Maxwell GM107-N16P-GT ,50 Watts,2048 MB ,1250 MHz
Maxwell GM108-N16S-GT-S ,30 Watts,2048 MB ,1000 MHz
Maxwell GM108-N16V-GMR ,25 Watts,2048 MB ,1125 MHz
Maxwell GM108-N16S-GM ,25 Watts,2048 MB ,900 MHz
Maxwell GM108-N16S-GT-S ,25 Watts,4096 MB ,1000 MHz
Kepler GK208-N16V-GM ,25 Watts,4096 MB ,900 MHz
Kepler GK107? ,25 Watts,2048 MB ,900 MHz
Kepler GK208-N16V-GM ,25 Watts,2048 MB ,900 MHz
Kepler GK208-N16V-GM ,25 Watts,1024 MB ,900 MHz
Vega 10 XT ,200 Watts,8192 MB ,500 MHz
Vega 10 XTX ,375 Watts,8192 MB ,500 MHz
GCN 1.1 Versuvius XT ,750 Watts,16384 MB ,1250 MHz
GCN 1.1 Versuvius XT ,500 Watts,8192 MB ,1250 MHz
GCN 1.1 Versuvius XT ,500 Watts,8192 MB ,1250 MHz
GCN 1.1 Hawaii XT ,290 Watts,8192 MB ,1375 MHz
GCN 1.2 Fiji XT ,175 Watts,4096 MB ,500 MHz
GCN 1.1 Hawaii XT ,290 Watts,4096 MB ,1250 MHz
GCN 1.2 Fiji XT (x2) ,500 Watts,8192 MB ,500 MHz
GCN 1.2 Fiji PRO ,375 Watts,4096 MB ,500 MHz
GCN 1.2 Fiji XT ,275 Watts,4096 MB ,500 MHz
GCN 1.2 Fiji PRO ,275 Watts,4096 MB ,500 MHz
GCN 1.1 Grenada XT ,300 Watts,8192 MB ,1500 MHz
GCN 1.1 Grenada XT ,300 Watts,8192 MB ,1500 MHz
GCN 1.1 Grenada XT ,275 Watts,8192 MB ,1500 MHz
GCN 1.1 Grenada XT ,375 Watts,8192 MB ,1500 MHz
GCN 1.1 Grenada XT ,375 Watts,8192 MB ,1500 MHz
GCN 1.1 Grenada XT ,375 Watts,8192 MB ,1500 MHz
GCN 1.1 Grenada XT ,300 Watts,8192 MB ,1500 MHz
GCN 1.1 Grenada XT ,300 Watts,8192 MB ,1525 MHz
GCN 1.1 Grenada XT ,275 Watts,8192 MB ,1525 MHz
GCN 1.1 Grenada XT ,300 Watts,8192 MB ,1500 MHz
GCN 1.1 Grenada XT (x2) ,550 Watts,16384 MB ,1500 MHz
GCN 1.1 Grenada XT ,375 Watts,8192 MB ,1500 MHz
GCN 1.1 Grenada XT ,300 Watts,8192 MB ,1500 MHz
GCN 1.1 Grenada PRO ,275 Watts,8192 MB ,1500 MHz
GCN 1.1 Grenada XT ,275 Watts,8192 MB ,1500 MHz
GCN 1.1 Grenada PRO ,300 Watts,8192 MB ,1500 MHz
GCN 1.1 Grenada XT ,275 Watts,8192 MB ,1500 MHz
GCN 1.1 Grenada PRO ,375 Watts,8192 MB ,1500 MHz
GCN 1.1 Grenada PRO ,375 Watts,8192 MB ,1500 MHz
GCN 1.1 Grenada PRO ,275 Watts,8192 MB ,1500 MHz
